COLEGIO	PRENDA	 T3 	 T4 	 T6 	 T8 	 T10 	 T12 	 T14 	 T16 	 S/M/L/xl 	 2XL 
DUNALASTAIR	🩳 SHORT DEPORTE MUJER	 17.000 	 17.000 	 17.000 	 18.000 	 18.000 	 19.000 	 19.000 	 19.000 	 20.000 	 21.000 
DUNALASTAIR	🧶 SWEATER	 NO 	 NO 	 NO 	 18.000 	 18.000 	 19.000 	 19.000 	 19.000 	 20.000 	
PUMAHUE	👖 CALZA CORTA	 11.000 	 11.000 	 11.000 	 12.000 	 12.000 	 13.000 	 13.000 	 13.000 	 14.000 	
PUMAHUE	👖 CALZA LARGA	 13.000 	 13.000 	 13.000 	 14.000 	 14.000 	 15.000 	 15.000 	 15.000 	 16.000 	
PUMAHUE	🧥 CHAQUETA AMERICANA	 28.000 	 28.000 	 28.000 	 30.000 	 30.000 	 32.000 	 32.000 	 32.000 	 36.000 	
PUMAHUE	👔 CORBATA	 10.000 	 10.000 	 10.000 	 10.000 	 10.000 	 10.000 	 10.000 	 10.000 	 10.000 	
PUMAHUE	🧥 DELANTAL Y COTONA	 15.000 	 15.000 	 15.000 	 16.000 	 16.000 	 17.000 	 17.000 	 17.000 	 NO 	
PUMAHUE	👗 FALDA CAFE	 18.000 	 18.000 	 18.000 	 20.000 	 20.000 	 22.000 	 22.000 	 22.000 	 24.000 	
PUMAHUE	👖 PANTALON BUZO	 16.000 	 16.000 	 16.000 	 18.000 	 18.000 	 20.000 	 20.000 	 20.000 	 22.000 	
PUMAHUE	👖 PANTALON TELA CAFE	 20.000 	 20.000 	 20.000 	 21.000 	 21.000 	 22.000 	 22.000 	 22.000 	 24.000 	
PUMAHUE	🧥 POLERON MANGAS CAFE	 18.000 	 18.000 	 18.000 	 19.000 	 19.000 	 21.000 	 21.000 	 21.000 	 22.000 	
PUMAHUE	🧥 POLERON AZUL C/CIERRE	 15.000 	 15.000 	 15.000 	 17.000 	 17.000 	 18.000 	 18.000 	 18.000 	 20.000 	
PUMAHUE	👕 POLERA CUELLO Y POLO PIQUE M/C	 15.000 	 15.000 	 15.000 	 16.000 	 16.000 	 17.000 	 17.000 	 17.000 	 19.000 	
PUMAHUE	👕 POLERA CUELLO Y POLO PIQUE M/L	 16.000 	 16.000 	 16.000 	 17.000 	 17.000 	 18.000 	 18.000 	 18.000 	 20.000 	
PUMAHUE	👕 POLERA DRYFIT M/C	 14.000 	 14.000 	 14.000 	 15.000 	 15.000 	 16.000 	 16.000 	 16.000 	 17.000 	
PUMAHUE	👕 POLERA DRYFIT M/L	 15.000 	 15.000 	 15.000 	 16.000 	 16.000 	 17.000 	 17.000 	 17.000 	 18.000 	
PUMAHUE	❄️ POLAR	 18.000 	 18.000 	 18.000 	 19.000 	 19.000 	 20.000 	 20.000 	 20.000 	 22.000 	
PUMAHUE	🧥 PARKA	 19.000 	 19.000 	 19.000 	 20.000 	 20.000 	 22.000 	 22.000 	 22.000 	 24.000 	
PUMAHUE	🩳 SHORT	 13.000 	 13.000 	 13.000 	 14.000 	 14.000 	 15.000 	 15.000 	 15.000 	 16.000 	
PUMAHUE	🧶 SWEATER	 NO 	 NO 	 NO 	 18.000 	 18.000 	 19.000 	 19.000 	 19.000 	 20.000 	
MAYOR	👖 CALZA CORTA	 11.000 	 11.000 	 11.000 	 12.000 	 12.000 	 13.000 	 13.000 	 13.000 	 14.000 	
MAYOR	👖 CALZA LARGA	 13.000 	 13.000 	 13.000 	 14.000 	 14.000 	 15.000 	 15.000 	 15.000 	 16.000 	
MAYOR	🧥 DELANTAL O COTONA	 15.000 	 15.000 	 15.000 	 16.000 	 16.000 	 17.000 	 17.000 	 17.000 	 NO 	
MAYOR	👗 FALDA	 18.000 	 18.000 	 18.000 	 20.000 	 20.000 	 22.000 	 22.000 	 22.000 	 24.000 	
MAYOR	👖 PANTALON BUZO	 16.000 	 16.000 	 16.000 	 18.000 	 18.000 	 20.000 	 20.000 	 20.000 	 22.000 	
MAYOR	👖 PANTALON TELA GRIS	 18.000 	 18.000 	 18.000 	 19.000 	 19.000 	 21.000 	 21.000 	 21.000 	 23.000 	
MAYOR	🧥 POLERON DEPORTE	 18.000 	 18.000 	 18.000 	 19.000 	 19.000 	 21.000 	 21.000 	 21.000 	 22.000 	
MAYOR	🧥 POLERON AZUL C/CIERRE	 15.000 	 15.000 	 15.000 	 17.000 	 17.000 	 18.000 	 18.000 	 18.000 	 20.000 	
MAYOR	👕 POLERA AMARILLA DEPORTE M/C	 14.000 	 14.000 	 14.000 	 15.000 	 15.000 	 16.000 	 16.000 	 16.000 	 17.000 	
MAYOR	👕 POLERA AMARILLA DEPORTE M/L	 15.000 	 15.000 	 15.000 	 16.000 	 16.000 	 17.000 	 17.000 	 17.000 	 18.000 	
MAYOR	👕 POLERA AZUL PIQUE M/C	 15.000 	 15.000 	 15.000 	 16.000 	 16.000 	 17.000 	 17.000 	 17.000 	 19.000 	
MAYOR	👕 POLERA AZUL PIQUE M/L	 16.000 	 16.000 	 16.000 	 17.000 	 17.000 	 18.000 	 18.000 	 18.000 	 20.000 	
MAYOR	❄️ POLAR	 18.000 	 18.000 	 18.000 	 19.000 	 19.000 	 20.000 	 20.000 	 20.000 	 22.000 	
MAYOR	🧥 PARKA	 19.000 	 19.000 	 19.000 	 20.000 	 20.000 	 22.000 	 22.000 	 22.000 	 24.000 	
MAYOR	🩳 SHORT FRANELA Y DEPORTE	 13.000 	 13.000 	 13.000 	 14.000 	 14.000 	 15.000 	 15.000 	 15.000 	 16.000
